Pricing category / Questions,50,100,250,500,1000
Students / 5,32.50,55.00,122.50,235.00,460.00
Students / 10,40.00,70.00,160.00,310.00,610.00
Students / 15,47.50,85.00,197.50,385.00,760.00
Students / 20,55.00,100.00,235.00,460.00,910.00
Students / 25,62.50,115.00,272.50,535.00,1060.00
Institutions & Businesses / 5,62.50,100.00,212.50,400.00,775.00
Institutions & Businesses / 10,75.00,125.00,275.00,525.00,1025.00
Institutions & Businesses / 15,87.50,150.00,337.50,650.00,1275.00
Institutions & Businesses / 20,100.00,175.00,400.00,775.00,1525.00
Institutions & Businesses / 25,112.50,200.00,462.50,900.00,1775.00
